Date,Count
2018-09-02,1
2018-09-03,2
2018-09-04,2
2018-09-05,7
2018-09-06,4
2018-09-07,8
2018-09-08,5
2018-09-09,1
2018-09-10,4
2018-09-11,0
2018-09-12,6


